St,Re,Fr,R_moment_1,R_moment_2,R_moment_3,R_moment_4,mean,mu2_central,mu3_central,mu4_central,sd,skewness,kurtosis,log_St,log_Re,St_2,Re_2,Fr_2,St_sqrt,Re_sqrt,logistic_Fr
0.1,224,0.052,0.002157,0.13035,14.374,1586.5,0.002157,0.130345347351,14.373156525221528,1586.3759847667718,0.361033720517904,305.42800434918433,93371.65555034838,-2.3025850929940455,5.4116460518550396,0.010000000000000002,50176,0.002704,0.31622776601683794,14.966629547095765,0.5129970714585418
3,224,0.052,0.0037903,0.47042,69.94,10404,0.0037903,0.47040563362591,69.93465101012774,10402.939666220758,0.6858612349636841,216.76224513656842,47012.251542945574,1.0986122886681098,5.4116460518550396,9,50176,0.002704,1.7320508075688772,14.966629547095765,0.5129970714585418
0.7,224,Inf,0.0029054,0.043499,0.822,15.551,0.0029054,0.043490558650840005,0.8216209030671916,15.541449247727714,0.20854390101568543,90.58973728585526,8216.777780424005,-0.35667494393873245,5.4116460518550396,0.48999999999999994,50176,Inf,0.8366600265340756,14.966629547095765,1
0.05,90,Inf,0.063528,0.090653,0.46746,3.2696,0.063528,0.086617193216,0.4506957621147479,3.1529590892251464,0.29430799040461,17.679798648427223,420.2523228439644,-2.995732273553991,4.499809670330265,0.0025000000000000005,8100,Inf,0.22360679774997896,9.486832980505138,1
0.7,398,Inf,3.6945e-4,0.0062242,0.12649,2.5714,3.6945e-4,0.0062240635066975,0.1264831015087849,2.571213078175314,0.07889273418190994,257.5855423689903,66372.78451466895,-0.35667494393873245,5.986452005284438,0.48999999999999994,158404,Inf,0.8366600265340756,19.949937343260004,1
2,90,0.3,0.1478,2.0068,36.249,671.67,0.1478,1.9849551600000002,35.365642214704,650.5011889583681,1.408884367150122,12.64606757540105,165.09985567935914,0.6931471805599453,4.499809670330265,4,8100,0.09,1.4142135623730951,9.486832980505138,0.574442516811659
0.2,90,Inf,0.081273,0.3245,3.0363,32.976,0.081273,0.317894699471,2.958254399679787,32.001652790544725,0.563821513841925,16.50481227980977,316.6692078634171,-1.6094379124341003,4.499809670330265,0.04000000000000001,8100,Inf,0.44721359549995793,9.486832980505138,1
3,224,Inf,0.0057473,0.11966,2.748,63.159,0.0057473,0.11962696854271,2.7459372139293894,63.09584939039184,0.34587131789541325,66.36620078902837,4409.025354192812,1.0986122886681098,5.4116460518550396,9,50176,Inf,1.7320508075688772,14.966629547095765,1
0.9,224,Inf,0.0030215,0.045244,0.8453,15.809,0.0030215,0.04523487053775,0.8448899409313404,15.798786182270298,0.2126849090503367,87.81932849503272,7721.061612814085,-0.10536051565782628,5.4116460518550396,0.81,50176,Inf,0.9486832980505138,14.966629547095765,1
0.6,398,0.052,3.1431e-4,0.0044672,0.08206,1.5077,3.1431e-4,0.004467101209223901,0.08205578780520585,1.5075968335334797,0.06683637639208084,274.8340458066925,75549.85448541076,-0.5108256237659907,5.986452005284438,0.36,158404,0.002704,0.7745966692414834,19.949937343260004,0.5129970714585418
0.9,90,Inf,0.091027,0.59539,7.2454,95.166,0.091027,0.587104085271,7.084318787330074,92.5572860322743,0.7662271760196189,15.748001309919255,268.5223300398147,-0.10536051565782628,4.499809670330265,0.81,8100,Inf,0.9486832980505138,9.486832980505138,1
0.3,398,Inf,3.6022e-4,0.006283,0.13546,2.9211,3.6022e-4,0.0062828702415516,0.13545321030670318,2.9209048232867834,0.0792645585463743,271.98951763247686,73994.80414267656,-1.2039728043259361,5.986452005284438,0.09,158404,Inf,0.5477225575051661,19.949937343260004,1
2,224,Inf,0.0044725,0.080804,1.6668,34.408,0.0044725,0.08078399674375,1.6657159912591273,34.37819064485832,0.28422525704755724,72.54591309856738,5267.837189302567,0.6931471805599453,5.4116460518550396,4,50176,Inf,1.4142135623730951,14.966629547095765,1
1,224,0.052,0.0031238,0.36478,53.322,7795.8,0.0031238,0.36477024187356,53.31858156167287,7795.1337523027305,0.6039621195684047,242.01901306834537,58584.775374662175,0,5.4116460518550396,1,50176,0.002704,1,14.966629547095765,0.5129970714585418
0.5,90,0.052,0.1267,685.96,5430000,42900000000,0.1267,685.9439471100001,5429739.270671803,42897248142.06907,26.190531630915782,302.2358891409158,91170.04659708402,-0.6931471805599453,4.499809670330265,0.25,8100,0.002704,0.7071067811865476,9.486832980505138,0.5129970714585418
0.6,224,0.3,0.002574,0.036621,0.67102,12.309,0.002574,0.036614374524,0.6707372467459504,12.302092633737647,0.1913488294293958,95.7359374969578,9176.47221064027,-0.5108256237659907,5.4116460518550396,0.36,50176,0.09,0.7745966692414834,14.966629547095765,0.574442516811659
0.1,90,Inf,0.077227,0.2212,1.8833,20.19,0.077227,0.215235990471,1.8329733279277922,19.616042288817905,0.46393533005258397,18.356243314777014,423.4299787585385,-2.3025850929940455,4.499809670330265,0.010000000000000002,8100,Inf,0.31622776601683794,9.486832980505138,1
1,90,0.3,0.11236,1.1261,17.335,282.61,0.11236,1.1134752304000002,16.958251250224514,274.903779963857,1.055213357762306,14.433120074898838,221.72751544646812,0,4.499809670330265,1,8100,0.09,1,9.486832980505138,0.574442516811659
0.7,224,0.052,0.0028561,0.31273,44.529,6342.3,0.0028561,0.31272184269279,44.52632048213717,6341.791298198409,0.5592153813091965,254.61236043663004,64847.83968925397,-0.35667494393873245,5.4116460518550396,0.48999999999999994,50176,0.002704,0.8366600265340756,14.966629547095765,0.5129970714585418
0.2,90,0.052,0.1176,517.74,3810000,28000000000,0.1176,517.72617024,3809817.3445807598,27998207818.960747,22.753596863792765,323.41039661921155,104455.18339837927,-1.6094379124341003,4.499809670330265,0.04000000000000001,8100,0.002704,0.44721359549995793,9.486832980505138,0.5129970714585418
0.1,90,0.3,0.061252,0.069867,0.24338,1.1379,0.061252,0.066115192496,0.23100113097447003,1.0798004899906506,0.2571287469265154,13.58820862346067,247.0250448076981,-2.3025850929940455,4.499809670330265,0.010000000000000002,8100,0.09,0.31622776601683794,9.486832980505138,0.574442516811659
0.5,398,Inf,3.68e-4,0.0063559,0.13341,2.8013,3.68e-4,0.006355764576,0.13340298318607208,2.801103625644393,0.07972304921413882,263.27755632280764,69341.55417525944,-0.6931471805599453,5.986452005284438,0.25,158404,Inf,0.7071067811865476,19.949937343260004,1
0.2,224,Inf,0.0026916,0.039016,0.76384,14.978,0.0026916,0.03900875528944,0.7635249926029258,14.969777888824305,0.19750634240307322,99.10147493894607,9837.645550855104,-1.6094379124341003,5.4116460518550396,0.04000000000000001,50176,Inf,0.44721359549995793,14.966629547095765,1
1.5,398,0.052,3.8321e-4,0.0059338,0.11156,2.1004,3.8321e-4,0.005933653150095901,0.1115531784380547,2.100229001597803,0.07703020933436375,244.0611845078909,59651.63323008134,0.4054651081081644,5.986452005284438,2.25,158404,0.002704,1.224744871391589,19.949937343260004,0.5129970714585418
0.9,398,Inf,3.8344e-4,0.0064432,0.12925,2.5935,3.8344e-4,0.0064430529737663994,0.12924258837092747,2.593301767203852,0.08026863007281487,249.90105757578687,62469.73330551382,-0.10536051565782628,5.986452005284438,0.81,158404,Inf,0.9486832980505138,19.949937343260004,1
0.5,224,0.052,0.0027424,0.30355,43.911,6353,0.0027424,0.30354247924224,43.908502674689856,6352.518327591786,0.5509468933048266,262.55446722687554,68945.6662503398,-0.6931471805599453,5.4116460518550396,0.25,50176,0.002704,0.7071067811865476,14.966629547095765,0.5129970714585418
0.1,398,0.052,2.7479e-4,0.0032549,0.058006,1.0344,2.7479e-4,0.0032548244904558998,0.058003316799585536,1.034336243599679,0.05705106914384602,312.3643526019178,97635.23874713734,-2.3025850929940455,5.986452005284438,0.010000000000000002,158404,0.002704,0.31622776601683794,19.949937343260004,0.5129970714585418
0.4,224,0.052,0.0026809,0.28897,41.585,5986.1,0.0026809,0.28896281277519,41.582675939517465,5985.654071555199,0.5375526139599639,267.70069555075594,71684.90299694154,-0.916290731874155,5.4116460518550396,0.16000000000000003,50176,0.002704,0.6324555320336759,14.966629547095765,0.5129970714585418
0.3,90,0.052,0.12261,627.27,4910000,38500000000,0.12261,627.2549667879,4909769.274962344,38497591996.17862,25.04505872997506,312.5323089490819,97846.51178468633,-1.2039728043259361,4.499809670330265,0.09,8100,0.002704,0.5477225575051661,9.486832980505138,0.5129970714585418
0.05,224,0.052,0.0017374,0.0016633,0.020228,0.36438,0.0017374,0.0016602814412399998,0.02021934103662798,0.3642394535884776,0.0407465512803231,298.8783297017589,132136.73122130506,-2.995732273553991,5.4116460518550396,0.0025000000000000005,50176,0.002704,0.22360679774997896,14.966629547095765,0.5129970714585418
1.5,224,0.052,0.0034163,0.403,58.417,8471,0.0034163,0.40298832889431,58.412869773044,8470.201748231924,0.6348136174455539,228.33360866009392,52156.545346115556,0.4054651081081644,5.4116460518550396,2.25,50176,0.002704,1.224744871391589,14.966629547095765,0.5129970714585418
0.8,90,Inf,0.091074,0.61825,7.4973,97.048,0.091074,0.609955526524,7.329891320254706,94.34732555368849,0.7809964958461721,15.386869822287784,253.59065918567617,-0.2231435513142097,4.499809670330265,0.6400000000000001,8100,Inf,0.8944271909999159,9.486832980505138,1
1.5,90,0.052,0.15181,996.9,8550000,73300000000,0.15181,996.8769537239,8549545.988830311,73294808235.8474,31.573358290240524,271.6318671675292,73754.76798174263,0.4054651081081644,4.499809670330265,2.25,8100,0.002704,1.224744871391589,9.486832980505138,0.5129970714585418
0.05,398,Inf,2.2202e-4,0.0010055,0.010857,0.11782,2.2202e-4,0.0010054507071196,0.01085633029855801,0.11781035841281665,0.0317088427275358,340.51940998785796,116536.48360784804,-2.995732273553991,5.986452005284438,0.0025000000000000005,158404,Inf,0.22360679774997896,19.949937343260004,1
